pitch_mean,pitch_std,pitch_range,energy_mean,energy_std,speaking_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,emotion
102.87703,63.53572,226.00635,0.00232657,0.003231724,3.632717158912455,-694.2315,50.040554,0.5522665,14.5456295,3.4447615,-2.4693272,-3.988867,-10.599405,-7.2048903,1.9541297,-4.2952824,2.2685385,-5.363429,neutral
103.47605,67.35614,222.68932,0.0025044002,0.003449438,3.5963811414763893,-683.9196,49.147438,-1.7723215,19.475557,1.9769548,-0.55906355,-4.7360053,-12.186052,-5.4750223,2.4511197,-4.1994586,1.8152306,-5.2390347,neutral
111.4511,70.03748,242.03323,0.0028462077,0.004172237,2.4465299413215083,-678.07904,51.52771,-0.038086716,14.368165,0.83389103,-0.18541197,-6.124986,-10.725261,-7.61419,1.4321214,-3.8672495,2.2190194,-5.85153,neutral
96.39853,54.784725,214.88795,0.0026602722,0.004046586,2.2082889703852673,-674.43964,50.828194,1.7249596,14.461128,3.0742104,1.7510952,-7.570892,-11.271994,-7.13256,2.0016143,-2.7141168,0.93273896,-4.972868,neutral
108.90361,59.706055,222.93365,0.0017037225,0.0024023345,3.1100901219296695,-709.8828,56.29944,2.6625311,16.805483,3.5649443,-0.87476563,-5.6444244,-8.770026,-8.92341,2.0694683,-4.683158,1.2033601,-5.316927,calm
103.051796,49.089993,222.60394,0.0018082878,0.0024866087,1.9424884664747302,-695.86975,61.8713,-0.80428153,14.567588,4.735579,-2.691877,-7.006919,-8.064504,-8.452818,2.1760664,-3.8065197,0.007257048,-5.678415,calm
93.06304,41.600002,182.05289,0.0026406036,0.00334207,2.854288568574283,-688.434,58.455845,0.19532253,14.347581,2.1475272,1.7945907,-6.2172914,-8.7956705,-8.008652,2.5240705,-2.2556846,0.74966043,-5.33911,calm
101.90568,57.7944,247.37198,0.0026975293,0.0035874718,2.593519802604326,-685.4515,62.541225,-0.8261392,16.144678,2.891825,1.5114291,-6.2234745,-8.806564,-7.2023883,1.1583246,-2.26379,1.3000516,-4.9428387,calm
91.56138,31.811216,181.15863,0.0015352227,0.0018540435,2.429969625379683,-718.6157,64.94728,1.9010295,16.33155,4.00424,-1.5176964,-5.845613,-5.3711743,-8.0974455,2.530768,-1.2224076,-0.30089906,-5.0555024,calm
102.491196,51.905273,247.6291,0.0016447079,0.0020441432,2.7472527472527477,-678.8852,60.24432,-2.4052532,13.981015,1.6262014,-2.2108362,-8.577353,-8.015344,-8.345557,2.9916987,-2.512611,-1.5247272,-5.6491785,calm
105.64245,45.567158,238.64197,0.002116277,0.002224195,3.092109175239341,-687.784,61.919678,2.9957113,11.420323,4.4978356,1.2314442,-8.976568,-6.934919,-8.936617,3.1329415,0.26412797,0.36995727,-4.836611,calm
105.971405,58.058254,222.1202,0.0021466464,0.0026160097,3.4965034965034967,-669.3351,56.18406,-3.906476,15.831812,2.221315,0.40576276,-10.832254,-10.301562,-7.9346514,4.7955494,-2.0441551,-0.63307667,-7.124411,calm
127.13436,71.73619,232.915,0.004352341,0.005670822,3.458026403472435,-630.4844,55.85235,-4.846811,14.766146,-2.3529181,-4.4143267,-8.338184,-11.595629,-6.6747727,0.13697669,-8.877774,2.5722437,-8.064328,happy
130.6854,80.44659,247.92522,0.00506359,0.0065703643,2.8817405713050683,-610.3609,53.820595,-5.1030164,17.301195,0.7623974,-5.3264484,-6.624515,-12.669138,-6.569199,2.280546,-8.218486,5.0824437,-7.7346764,happy
114.58497,68.3624,228.05537,0.003816953,0.005121639,3.1100901219296695,-642.2666,54.73978,-1.5624722,12.108255,-1.5802337,-2.6530116,-9.055992,-13.778261,-8.004792,3.8767343,-8.001145,2.6074367,-6.2283783,happy
122.07103,73.70727,243.91017,0.0038037465,0.0045965523,2.6999662504218698,-635.335,48.80488,2.6291344,17.269691,-2.415,-0.032664906,-7.1056347,-13.695679,-8.430627,1.7542454,-5.9194765,3.1524143,-6.757477,happy
164.8262,74.14301,245.31369,0.0066550556,0.008765106,3.5418724244797875,-583.44666,43.252106,-6.6012535,5.285235,-3.2655194,-6.4368243,-15.119597,-9.423281,-14.164572,0.6129295,-9.420697,0.22905579,-8.01488,happy
157.80475,71.142685,238.12021,0.008501559,0.011661697,3.5743744844652188,-553.58167,48.836487,-12.89195,7.229859,-0.27535704,-7.637723,-12.393135,-12.6224165,-13.238041,5.5585165,-10.277538,0.57839835,-5.8990626,happy
124.19847,63.845013,191.02908,0.011079373,0.013439035,3.5557813194488537,-503.05002,39.735077,-10.254747,7.5195665,-3.3695002,-6.8978252,-13.012488,-16.885265,-11.619035,2.6081374,-12.242265,2.803939,-9.192976,happy
127.2673,59.92632,221.6824,0.010275038,0.012453326,4.063685572328841,-526.5468,41.82679,-10.284768,6.713706,-5.5285783,-6.70969,-13.495095,-16.288134,-13.732458,0.29332218,-9.905761,2.5674846,-8.198202,happy
152.2497,69.633675,234.37833,0.002244188,0.0029766974,2.8666829546379997,-672.90015,56.015125,-3.0299668,18.127066,-1.5164067,-2.1759303,-8.54333,-12.892447,-7.3388257,-3.871756,-2.8191938,-0.88463205,-8.236105,sad
141.7195,65.39838,240.83531,0.0020603363,0.0027879754,4.201386457530985,-682.63196,58.302124,-2.717058,20.004091,0.23189518,1.0483509,-6.7968435,-11.829402,-8.780702,-1.4136031,-3.3442798,-1.7505805,-4.579512,sad
144.17162,63.642925,205.96417,0.0017757633,0.002422334,1.998001998001998,-724.79913,53.721565,-4.574374,16.966187,-0.8659846,-1.1190157,-7.107028,-12.358786,-7.3665285,-0.2850748,-2.7335439,-1.033776,-5.21055,sad
134.89046,66.73037,237.2724,0.0023393247,0.0031282853,3.2640344207266185,-701.4147,54.7576,-0.23666295,18.080446,-0.94446725,2.6285307,-6.0568857,-14.143858,-7.779832,-1.5049689,-4.02643,0.4234725,-6.8546195,sad
147.51251,74.868095,243.64122,0.0030094625,0.0036325234,2.6289413581768293,-663.14905,57.373806,0.19014892,20.2237,-0.32565823,-0.20812967,-6.662887,-10.965925,-4.409886,-1.3257084,-3.9688861,0.59654987,-7.160889,sad
147.11053,70.73163,231.52753,0.004993199,0.0069952155,5.3999325008437395,-616.93207,44.39538,-5.405289,11.927895,-1.8766825,-7.3231387,-9.726254,-14.286551,-10.135011,-0.31393465,-9.5801115,2.3014092,-9.510462,sad
147.32645,67.538536,246.6189,0.0051084375,0.0066203815,3.4786098939692947,-607.47,47.07704,-4.7926445,14.605791,-1.8017406,-5.252694,-10.085373,-18.825283,-10.671867,-0.82557464,-9.259229,1.567165,-8.888568,sad
137.33203,62.643993,246.75514,0.006202208,0.0074808006,2.943488368203636,-592.2696,43.400246,-3.3186479,13.34333,-3.2777643,-5.0254827,-10.850559,-16.18702,-9.394396,0.27408835,-8.029783,1.4333239,-9.90445,sad
150.73148,61.017986,248.23917,0.009044389,0.012000446,3.875405706534903,-534.05237,34.97803,-3.5949755,11.610252,-5.7629566,-3.454508,-3.7988544,-9.873667,-10.285377,1.0964575,-7.119155,0.7013888,-7.5805855,angry
179.52086,66.01964,239.99387,0.009964891,0.012084132,4.8256266171404985,-519.04816,34.33238,-5.342272,7.6891265,-7.7284293,-4.142185,-11.348422,-12.635181,-11.618584,-2.9119444,-9.606558,-1.5926796,-7.8452177,angry
128.7216,60.264534,221.03825,0.0069882465,0.009656743,3.710575139146568,-565.1883,40.05792,-0.66624534,10.573721,-4.0504355,-3.0465865,-8.571688,-13.228571,-8.996064,-1.9644209,-6.4761395,-0.017762693,-7.9158025,angry
157.0167,69.440094,245.43823,0.01093892,0.014677234,2.943488368203636,-526.5581,40.196915,-3.795885,9.093004,-4.7611094,-3.3927867,-7.620163,-14.923835,-10.370462,-0.8040029,-8.394026,2.3007565,-9.210727,angry
208.23608,73.94706,240.71034,0.055185016,0.06896462,4.142174032223678,-337.24527,21.516478,-18.826561,-1.507301,-12.813228,-5.734181,-19.068003,-12.460266,-13.387141,-3.08085,-8.350034,-4.607519,-8.893252,angry
229.96214,53.834446,245.02707,0.03357372,0.041437894,4.804323891502352,-357.61752,13.785372,-17.025623,0.0066479314,-12.294667,-8.079639,-13.780132,-13.327694,-15.969634,-1.8088096,-12.337055,-1.6457758,-7.8102527,angry
210.82668,60.286728,243.20325,0.033048097,0.044503026,5.80060422960725,-388.71484,23.06024,-14.33846,3.2727418,-9.04869,-6.725444,-14.610427,-15.102851,-13.343773,-1.1652555,-12.54646,0.13693707,-9.1742115,angry
220.54494,66.53455,239.9979,0.09415732,0.11517618,3.154707414970777,-288.956,14.999517,-20.249802,-4.9438157,-11.165282,-11.91894,-18.40666,-13.783508,-15.445488,0.046605624,-11.657056,-3.6020389,-7.1541166,angry
181.12993,67.359474,229.15993,0.0037567436,0.0052267276,3.024470717624416,-636.0037,47.217148,-9.615251,8.324897,-9.739891,-1.6216106,-12.593926,-4.4776073,-3.6764805,-2.4645076,-5.582109,-2.1129625,-3.498983,neutral
164.9714,70.47062,214.78519,0.0036747695,0.004904747,4.162475285302993,-636.7239,41.088577,-8.436254,10.376582,-11.068367,-0.469257,-12.251808,-2.2844362,-4.573607,-1.0807079,-5.5849495,-2.5436957,-3.3170648,neutral
168.7005,71.72117,243.07117,0.005464765,0.007741103,2.9174333217299053,-610.9205,45.361523,-11.656629,5.208721,-8.862896,-1.6351974,-13.172316,-5.7332516,-4.930278,-2.6334124,-6.4117985,-3.2142515,-1.2155621,neutral
188.14798,60.800484,211.85384,0.004915848,0.0068723024,3.0524818758888617,-628.39044,40.946583,-10.537265,4.976801,-11.821715,-2.828456,-14.484905,-6.8018875,-6.1801066,-3.6070802,-7.047058,-5.619368,-3.1504579,neutral
179.79395,62.84438,231.16199,0.0033986184,0.004499581,3.127290495968727,-648.3293,45.18541,-3.1360536,10.040802,-9.445921,1.2931193,-11.179779,-2.9647462,-4.6520967,-1.2064406,-7.5382385,-1.2213562,-1.9448707,calm
192.45145,58.85082,231.6702,0.0034752493,0.0043881307,3.9960039960039966,-644.66785,40.272358,-8.632745,7.6384616,-10.623949,0.088277794,-13.193527,-3.0913126,-5.4093533,-1.9323789,-10.143743,-1.8862395,-1.9979761,calm
208.89453,41.321644,212.85757,0.0036827147,0.004846888,2.6060754133072725,-642.4061,40.307762,-7.7545056,3.5683858,-8.75831,-3.376204,-13.013106,-5.985577,-5.7069135,-3.8865416,-8.712006,-3.5710123,-3.0694592,calm
207.55414,49.181694,235.77602,0.0036329855,0.0046496,3.5258932787659374,-635.1071,42.24308,-14.361285,1.4533681,-11.140609,-3.9639778,-16.19072,-7.2284627,-7.006432,-4.8499174,-10.062667,-6.4693666,-4.6876354,calm
184.1895,59.663773,234.61597,0.002818034,0.0039054384,4.350453172205438,-630.3904,36.775635,-5.8859143,6.30402,-11.277266,-1.8222632,-10.184118,-6.4628353,-4.791795,-2.7717764,-9.55681,-2.6862833,-4.863838,calm
212.70016,34.253834,169.3038,0.0030887395,0.00424451,3.4675996160871856,-642.05493,38.531796,-8.6741295,5.2387304,-11.573377,0.09110355,-12.967489,-5.041976,-6.375588,-1.0715592,-10.369433,-3.2001255,-3.0046916,calm
214.62659,41.14258,212.68738,0.0034034988,0.004510395,3.6548594401973626,-646.2036,35.871178,-8.476862,-0.610477,-9.165857,-3.2892768,-16.534803,-8.402836,-6.7084866,-4.603968,-13.080854,-4.316427,-5.749,calm
199.0445,50.74727,194.90877,0.0033048296,0.003937457,2.92388755215789,-648.55,42.5121,-6.8795514,1.5120811,-8.749971,-2.32405,-15.247409,-6.1844153,-4.831167,-3.0997024,-13.484154,-4.4115586,-4.7326584,calm
199.00409,58.759235,229.42462,0.0070742676,0.010329715,4.439973637656526,-575.56647,34.56,-20.44198,10.08179,-14.415045,-0.73521113,-15.927071,-6.6261506,-5.0520988,-3.867697,-5.914289,-6.3140626,-2.7805848,happy
183.47438,65.57457,238.32785,0.006294743,0.008834623,2.970012993806848,-590.3561,35.84345,-15.852815,12.687764,-14.8188095,-0.8924765,-15.651283,-5.3753757,-5.5838017,-5.0559726,-4.827754,-5.4407096,-1.7643281,happy
211.20213,47.496994,222.73383,0.0068909307,0.009925541,2.6522121106635503,-588.6567,33.769527,-21.027287,6.0000205,-13.921865,-4.5616026,-19.635471,-7.2073016,-5.20015,-6.889899,-5.9445634,-8.01877,-2.5668952,happy
206.10689,60.3801,228.22961,0.006723855,0.009794743,3.7461952704284713,-576.17664,38.16653,-15.160164,8.3085165,-12.696085,-4.5295243,-17.790192,-4.814531,-3.6476457,-5.14966,-5.366017,-5.7171726,-2.813642,happy
217.41309,38.026573,202.29716,0.01706217,0.026373615,3.779952750590618,-467.28952,21.498287,-29.042463,8.598585,-23.426256,-6.3968863,-17.744053,-6.5705986,-8.541159,-8.708086,-4.8875904,-9.502911,-1.4834577,happy
214.94955,36.47916,192.58253,0.017462073,0.027081057,4.3592275993597385,-475.95993,26.059141,-31.481194,9.232283,-22.115576,-9.030833,-17.058064,-7.136226,-6.8231688,-8.191174,-3.3823295,-8.546258,-0.0025457963,happy
222.4293,33.0023,131.60394,0.011874975,0.017307386,4.3199460006749915,-519.7252,29.09778,-23.909935,6.375044,-15.418093,-10.565143,-19.204975,-6.9594793,-4.1870775,-10.506055,-4.867059,-9.175409,-1.8641891,happy
222.97974,33.302315,178.80388,0.013208044,0.018761352,4.908847228277543,-525.23016,28.007957,-23.94529,5.535913,-18.182102,-8.698696,-17.575865,-8.557472,-7.2676353,-9.86933,-4.94149,-9.404229,-1.2718928,happy
221.38957,33.29644,225.69653,0.0029445493,0.0036702491,3.387898037299454,-661.7297,44.804882,-10.804073,6.920489,-11.22277,-2.6543956,-14.453998,-6.645709,-6.761495,-2.8733408,-8.886383,-1.3246579,-1.8440049,sad
210.27513,47.763214,224.38513,0.003260445,0.004462061,2.9174333217299053,-655.25543,47.70796,-9.586622,8.581194,-10.181234,-0.5807554,-12.210507,-6.970481,-4.568159,-2.6826112,-7.2278185,-2.128292,-2.8990576,sad
212.00981,24.858778,105.897064,0.0033184881,0.0047836127,2.408308664893884,-641.8625,37.142788,-6.2339764,3.7232869,-8.89117,-5.0442767,-16.173445,-5.607727,-4.734195,-4.800427,-6.3860397,-4.0936656,-2.8833134,sad
200.42897,46.779945,229.4003,0.0030139687,0.0045347535,2.6522121106635503,-669.4748,38.79513,-6.65788,6.892104,-7.7545347,-3.2849917,-13.345054,-6.3401165,-2.9490132,-3.8042212,-6.810326,-3.236231,-3.5928884,sad
235.70535,55.938477,216.9016,0.0027671803,0.0044806427,5.35170752918353,-651.2147,41.246716,-9.554459,4.6318245,-13.768058,-5.311481,-18.685673,-10.617203,-7.504853,-5.652767,-6.2134337,-3.3703692,0.7407991,sad
228.37332,53.745667,246.10942,0.0025257429,0.0035792987,5.834866643459811,-667.14594,48.2633,-5.736799,7.1099567,-9.536586,-5.3226066,-17.201653,-9.721913,-7.4023066,-4.317484,-6.9582753,-3.628138,-3.6895993,sad
212.04489,66.90436,239.84789,0.003729607,0.005444121,2.160009450041344,-643.8424,37.35697,-7.4872966,2.3082392,-9.799145,-6.106618,-18.84972,-11.817945,-7.944468,-6.3030157,-7.467217,-6.9283996,-3.2020948,sad
238.92482,55.348812,238.59564,0.00317815,0.004470376,3.269420699519804,-652.25946,39.34532,-7.851787,5.325517,-10.203531,-9.009614,-18.816294,-10.453232,-5.7152987,-7.7533092,-7.561572,-6.0749273,-2.509357,sad
193.38174,61.70041,230.409,0.0071743196,0.009689838,4.086775874399755,-550.73724,37.56858,-10.727389,6.3391743,-11.999157,-0.26560912,-12.615318,-5.800432,-4.342357,-1.2875329,-4.799665,-2.3008814,-1.5252172,angry
197.68713,62.88375,228.47943,0.007675145,0.010491067,4.631679324319722,-518.34424,33.483746,-15.364244,7.2370543,-13.406077,-0.6334465,-14.279336,-3.8212495,-2.6679273,-0.26545158,-4.303964,-1.5549442,-2.7879713,angry
195.15842,67.740166,245.55609,0.008298784,0.010795244,2.9174333217299053,-560.73334,39.716434,-10.122116,2.9244695,-11.988493,-0.7785301,-14.063239,-6.9861255,-4.458594,-3.8761787,-5.436152,-4.3007097,-2.251304,angry
195.22998,65.45153,227.3174,0.008116409,0.011263123,3.680517901447561,-551.6887,34.088238,-15.944753,2.85299,-17.095324,-1.475096,-15.322733,-7.680968,-5.2025914,-3.0827336,-5.9764543,-5.1476393,-0.93714774,angry
178.15904,67.82963,226.63333,0.025319114,0.03393147,4.098426268350863,-432.71875,21.555214,-22.668694,2.1611903,-21.297647,1.123419,-15.554523,-4.871289,-5.3507085,-2.901869,-5.2019796,-5.3564587,-2.5155025,angry
191.53522,72.22141,228.44615,0.020013217,0.026108066,4.745254745254746,-456.8085,24.174524,-23.839731,2.4040718,-21.551176,3.7406673,-13.080794,-6.2039256,-6.1181912,-2.4272723,-4.262736,-6.2252603,-1.6108105,angry
183.94398,65.884026,244.82947,0.04707495,0.0643976,3.7462537462537466,-415.46585,17.28518,-32.295326,-4.296878,-26.129196,-2.3503354,-18.796724,-11.124055,-8.553033,-7.5725894,-7.1492105,-9.872754,-5.4236336,angry
200.7543,67.932495,241.08984,0.04156319,0.05411535,2.4975024975024978,-405.85956,14.742742,-31.43264,-2.7801087,-26.529339,-0.48278657,-18.019737,-9.227822,-8.589961,-7.119164,-7.4828672,-9.932629,-5.1527996,angry
166.38495,65.450775,232.54855,0.0041432837,0.005774634,3.4916074123915695,-605.3704,52.065643,-3.5499582,12.641196,-1.0477065,-7.9262433,-14.044399,-1.9218712,-11.203294,-1.6824522,-4.890337,-3.2302532,-3.5501049,neutral
170.57954,66.774475,238.32913,0.0038572697,0.0050201216,3.996003996003996,-610.591,64.8674,4.02824,20.323757,5.0422173,-3.2969048,-10.19585,2.1170726,-6.4683948,1.0953616,-1.4604527,1.9385353,-0.8315549,neutral
143.46117,59.465965,232.5498,0.004245707,0.005534187,2.2834308548594264,-617.8989,54.15126,-0.7784679,14.07494,1.9045905,-8.058161,-14.389944,-2.223073,-11.706516,0.8047644,-6.808101,-1.7574677,-2.5882938,neutral
193.15323,68.289955,235.48976,0.0045279292,0.0067033744,2.593519802604326,-604.2022,51.353455,2.6298325,12.275449,4.3457336,-9.002095,-16.881561,-4.2131,-12.478397,-1.835058,-5.339708,-1.88812,-3.7989576,neutral
150.44841,70.793976,248.25163,0.0028372123,0.0033296652,3.387898037299454,-625.76044,60.696125,3.9557917,12.989758,2.7514832,-7.266703,-12.424478,0.8839522,-9.6563635,4.7440796,-7.2091312,-0.98797446,-4.981677,calm
162.98233,75.17666,239.80814,0.0030537862,0.0036620446,3.746257923168264,-609.9588,55.217766,-1.3977827,12.6617365,-0.47255138,-8.731665,-13.416538,0.32859102,-9.664697,4.244092,-8.426782,-1.9148546,-4.794271,calm
151.66022,72.438156,239.92548,0.002981423,0.0032449318,3.127290495968727,-618.0184,64.85857,-4.3299227,12.686353,7.6448383,-17.108683,-11.851502,2.9017138,-14.344784,7.799159,-10.633655,-0.7203482,-6.343252,calm
152.81454,51.6096,229.87482,0.008103795,0.008586004,3.5258932787659374,-536.76025,49.52007,-4.5837536,6.2485833,3.6746593,-10.491412,-15.300713,1.4155877,-13.805319,7.0871286,-10.057833,-2.0495272,-4.7742305,calm
179.50233,77.02427,222.40219,0.0046464847,0.0054152356,4.458342363540667,-531.9299,68.00653,-18.149475,6.333106,-5.2052402,-13.616179,-18.479008,0.8603651,-17.205322,15.210831,-8.908315,-0.91393405,-3.6277568,calm
169.75436,63.48921,246.11461,0.008032117,0.009672122,3.0221466685555085,-509.2458,51.345978,-14.08835,11.127558,-0.87366873,-9.254969,-17.597315,-4.157838,-10.310156,5.6119475,-7.2990923,-0.5725799,-4.79635,calm
156.51115,66.8871,249.49362,0.009464693,0.009209934,3.3836858006042294,-512.3522,54.793114,-6.585462,9.976854,3.8087168,-9.244821,-13.692734,1.7670772,-12.845668,13.55229,-8.32149,1.8012103,-1.031538,calm
162.4551,45.62889,215.6106,0.008872423,0.008918608,2.997002997002997,-517.6456,53.96712,-6.1975927,7.010487,2.5989976,-8.59948,-18.195944,2.654349,-12.219848,12.141767,-11.56598,0.37614068,-2.886542,calm
168.38202,54.30965,237.741,0.008088582,0.009983732,5.569645432393456,-525.6248,55.311363,-13.527853,7.1716485,0.25105867,-8.140514,-18.587399,-8.6833935,-13.678779,4.59522,-9.880723,-3.1950984,-4.9320774,happy
185.30238,66.01027,228.43343,0.011050595,0.013153708,4.162475285302993,-501.91025,52.51361,-16.560728,-1.7579428,-4.4264207,-6.0451155,-19.524786,-7.724978,-16.681986,2.9899228,-12.427394,-2.926539,-5.9859247,happy
200.9063,65.79459,236.65062,0.010165871,0.012652843,4.852290566576281,-517.07733,40.817036,-7.6742954,4.6699176,0.31733117,-12.788863,-19.671412,-6.3987813,-16.59683,-1.9567863,-12.638901,-4.302723,-6.989493,happy
163.43109,60.284195,217.14497,0.006860233,0.008881993,4.281432852861425,-544.24524,46.07547,-5.1265793,-0.6096621,0.89028096,-7.231537,-20.172327,-4.5028243,-14.905431,1.6480557,-10.777595,-3.329653,-6.670936,happy
221.11206,65.86818,208.27531,0.023344193,0.029062726,3.9495273635452817,-419.44714,40.801025,-13.675852,-6.3401113,-7.057591,-7.288797,-19.63611,-4.650802,-18.267654,5.002032,-12.071606,-3.5205486,-3.9434502,happy
223.04398,49.919224,212.22833,0.03539571,0.04416384,5.449049963814902,-382.6238,36.286263,-18.93256,-7.0742407,-11.702386,-4.5763984,-21.447712,-8.804644,-20.971643,4.706375,-13.540973,-2.8020408,-4.7714324,happy
226.57921,51.55426,233.90549,0.043740638,0.051050067,7.2507552870090635,-335.6979,38.88396,-8.882303,-6.3126907,-9.51804,-3.3685198,-22.24392,-10.699845,-22.884953,-2.5937886,-8.918055,-7.902939,-1.1923609,happy
204.43768,61.536976,241.0342,0.024639754,0.028591858,4.690935743953091,-386.11536,41.989002,-15.962966,-6.1334505,-1.2833973,-7.643854,-18.983004,-7.288993,-17.860725,3.1316798,-13.485073,-2.9451766,-4.1364803,happy
166.50203,69.96548,229.90845,0.0024530126,0.0031041044,3.8849769329494603,-641.46704,68.45126,-5.882385,13.204384,2.7953758,-4.4865975,-13.052399,-1.6702626,-10.931586,2.2470121,-7.8352494,-1.3064011,-4.804068,sad
165.71376,68.239426,244.18878,0.002494309,0.0026127913,3.0810167355227223,-647.3485,68.36067,-1.8403971,13.729383,2.4412024,-5.609809,-11.662786,0.049254894,-8.333211,-0.5902111,-6.124065,-1.198769,-4.5959826,sad
171.83452,64.88914,241.23346,0.004267366,0.004663136,2.2407394440165254,-584.3378,56.99113,-6.6166596,14.815618,0.040612,-8.548773,-16.720316,-3.656844,-11.856853,2.120978,-7.157086,-1.7082522,-1.7651497,sad
155.44893,59.637432,201.19153,0.0039664907,0.0042993673,2.2618837250397594,-593.80176,63.254448,1.1404195,14.188267,4.526862,-7.3733373,-17.603994,-0.1783958,-12.402401,2.9916441,-5.1657386,-1.9991834,-2.7629986,sad
213.93094,55.04227,229.85275,0.012578955,0.014372539,5.304424221327101,-501.0043,53.901875,-19.083096,0.10819474,-6.139187,-13.882076,-23.052483,-16.910767,-24.403227,-5.9518795,-10.447678,-10.077684,-7.8987975,sad
205.43242,59.96417,247.4431,0.018097686,0.02045792,3.648505578630181,-458.2557,43.595623,-10.64163,6.259496,-5.03839,-8.552891,-21.40116,-9.967009,-17.562042,-2.798025,-12.9755335,-8.6484375,-7.9944963,sad
207.2773,48.1641,239.92633,0.020573907,0.024971182,4.610784914088109,-411.3552,46.38253,-12.695389,10.72613,1.2421528,-6.660691,-20.652689,-14.227688,-16.664972,-2.74189,-12.15104,-3.0092297,-6.751784,sad
195.0731,48.26469,239.00935,0.018002184,0.019536702,4.05001771882752,-463.14334,51.482315,-8.501839,9.627775,1.3001814,-5.2740126,-15.987359,-11.336804,-16.95587,-1.4735289,-9.562808,-3.7284994,-4.568553,sad
183.42764,72.04455,215.99716,0.0024216573,0.003114699,5.744255744255745,-597.7181,61.76627,1.6415744,20.636482,-2.4163954,-2.579511,-15.746782,-7.715466,-7.4509754,-4.5810575,-7.1497865,-0.7862218,-7.0318866,angry
198.95578,63.77136,234.38055,0.009321926,0.012402415,5.404409506847632,-493.8569,49.726307,-10.865115,17.119293,-4.891275,-3.581833,-16.284327,-8.028776,-9.572943,-8.272334,-6.8261647,-1.3360224,-6.9680586,angry
